Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,(DEPRECATED) Training dataset size (datapoints),Dataset size notes,Epochs,Training time (hours),Training time notes,Training hardware,Hardware quantity,Compute cost notes,Compute sponsor categorization,Abstract,Model accessibility,Hardware utilization (MFU),Confidence,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Batch size,Batch size notes,Organization categorization,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Frontier model,Training power draw (W),Training compute estimation method
AlphaLink,Biology,Protein folding prediction,"Technische Universitat Berlin,Research Cluster of Excellence,University of Edinburgh","Kolja Stahl, Andrea Graziadei, Therese Dau, Oliver Brock, Juri Rappsilber",2023-04-20,Protein structure prediction with in-cell photo-crosslinking mass spectrometry and deep learning,https://www.nature.com/articles/s41587-023-01704-z,,,,93000000.0,"""To avoid training OpenFold from scratch, we start with the AlphaFold2 2.0 (https://github.com/deepmind/alphafold/releases/tag/v2.0.0) weights provided by Deepmind""",,,trRosetta,"""We train for five epochs on five GPUs, which takes roughly 5 days.""",13000.0,"[proteins]
refine the network on 13,000 proteins from the trRosetta38 training set with simulated photo-AA crosslinking data.",5.0,120.0,"""We train for five epochs on five GPUs, which takes roughly 5 days.""",,5.0,,,"While AlphaFold2 can predict accurate protein structures from the primary sequence, challenges remain for proteins that undergo conformational changes or for which few homologous sequences are known. Here we introduce AlphaLink, a modified version of the AlphaFold2 algorithm that incorporates experimental distance restraint information into its network architecture. By employing sparse experimental contacts as anchor points, AlphaLink improves on the performance of AlphaFold2 in predicting challenging targets. We confirm this experimentally by using the noncanonical amino acid photo-leucine to obtain information on residueresidue contacts inside cells by crosslinking mass spectrometry. The program can predict distinct conformations of proteins on the basis of the distance restraints provided, demonstrating the value of experimental data in driving protein structure prediction. The noise-tolerant framework for integrating data in protein structure prediction presented here opens a path to accurate characterization of protein structures from in-cell data.",Open weights (unrestricted),,Speculative,"Germany,Germany,United Kingdom of Great Britain and Northern Ireland",AlphaFold 2,2.02176e+20,"Assuming, they used A100 GPUs for training:

312000000000000 FLOP / GPU / sec * 5 days * 24 hours / day * 3600 sec / hour * 5 GPUs * 0.3 [assumed utilization] = 2.02176e+20 FLOP

""Speculative"" confidence, because the exact GPU is not reported",,,"Academia,Research collective,Academia",Open source,"https://github.com/lhatsk/AlphaLink

""While AlphaFold's and, by extension, OpenFold's source code is licensed under the permissive Apache Licence, Version 2.0, DeepMind's pretrained parameters fall under the CC BY 4.0 license, a copy of which is downloaded to openfold/resources/params by the installation script. Note that the latter replaces the original, more restrictive CC BY-NC 4.0 license as of January 2022.""",,,,Hardware
MMAPLE,Biology,Protein-ligand binding affinity prediction,"City University of New York,Cornell University","You Wu, Li Xie, Yang Liu, Lei Xie",2024-09-09,Semi-supervised meta-learning elucidates understudied molecular interactions,https://www.nature.com/articles/s42003-024-06797-z,,,,,,,,,,1667708.0,"Experiment 3: ""After removing
duplicates and unusable data, the dataset contained a total of 1,667,708 sam-
ples including 357,213 unique compounds and 168,517 unique proteins.""

Binary classification with 1 prediction target per sample. ",,,,,,,,"Many biological problems are understudied due to experimental limitations and human biases. Although deep learning is promising in accelerating scientific discovery, its power compromises when applied to problems with scarcely labeled data and data distribution shifts. We develop a deep learning framework—Meta Model Agnostic Pseudo Label Learning (MMAPLE)—to address these challenges by effectively exploring out-of-distribution (OOD) unlabeled data when conventional transfer learning fails. The uniqueness of MMAPLE is to integrate the concept of meta-learning, transfer learning and semi-supervised learning into a unified framework. The power of MMAPLE is demonstrated in three applications in an OOD setting where chemicals or proteins in unseen data are dramatically different from those in training data: predicting drug-target interactions, hidden human metabolite-enzyme interactions, and understudied interspecies microbiome metabolite-human receptor interactions. MMAPLE achieves 11% to 242% improvement in the prediction-recall on multiple OOD benchmarks over various base models. Using MMAPLE, we reveal novel interspecies metabolite-protein interactions that are validated by activity assays and fill in missing links in microbiome-human interactions. MMAPLE is a general framework to explore previously unrecognized biological domains beyond the reach of present experimental and computational techniques.",Open weights (unrestricted),,Confident,"United States of America,United States of America",,,,,,"Academia,Academia",Open source,"The code to reproduce results, together with documentation, is available on GitHub at https://github.com/XieResearchGroup/MMAPLE) 
CC BY 4.0",,,,
KinoML,Biology,"Drug discovery,Protein-ligand binding affinity prediction","Charité-Universitätsmedizin Berlin,Saarland University,Memorial Sloan Kettering Cancer Center","Raquel López-Ríos de Castro, Jaime Rodríguez-Guerra, David Schaller, Talia B Kimber, Corey Taylor, Jessica B White, Michael Backenköhler, Alexander Payne, Ben Kaminow, Iván Pulido, Sukrit Singh, Paula Linh Kramer, Guillermo Pérez-Hernández, Andrea Volkamer, John D Chodera",2024-09-10,"Lessons learned during the journey of data: from experiment to model for predicting kinase affinity, selectivity, polypharmacology, and resistance",https://pmc.ncbi.nlm.nih.gov/articles/PMC11419124/,,,,,,,,,,617000.9999999998,"Total Datapoints = KLIFS + KinCo + ChEMBL + PKIS2
= 6,667 + 137,778 + (159,823 + 15,578 + 11,412) + 261,870
= 6,667 + 137,778 + 186,813 + 261,870
= 592,128 ≈ 6.17 × 10⁵",,,,,,,,"Recent advances in machine learning (ML) are reshaping drug discovery. Structure-based ML methods use physically-inspired models to predict binding affinities from protein:ligand complexes. These methods promise to enable the integration of data for many related targets, which addresses issues related to data scarcity for single targets and could enable generalizable predictions for a broad range of targets, including mutants. In this work, we report our experiences in building KinoML, a novel framework for ML in target-based small molecule drug discovery with an emphasis on structure-enabled methods. KinoML focuses currently on kinases as the relative structural conservation of this protein superfamily, particularly in the kinase domain, means it is possible to leverage data from the entire superfamily to make structure-informed predictions about binding affinities, selectivities, and drug resistance. Some key lessons learned in building KinoML include: the importance of reproducible data collection and deposition, the harmonization of molecular data and featurization, and the choice of the right data format to ensure reusability and reproducibility of ML models. As a result, KinoML allows users to easily achieve three tasks: accessing and curating molecular data; featurizing this data with representations suitable for ML applications; and running reproducible ML experiments that require access to ligand, protein, and assay information to predict ligand affinity. Despite KinoML focusing on kinases, this framework can be applied to other proteins. The lessons reported here can help guide the development of platforms for structure-enabled ML in other areas of drug discovery.",Unreleased,,Confident,"Germany,Germany,United States of America",,,,,,"Academia,Academia",Open source,"MIT license:
https://github.com/openkinome/kinoml",,,,
CPDiffusion,Biology,Protein design,"Shanghai Jiao Tong University,University of New South Wales,University of Cambridge,Shanghai AI Lab","Bingxin Zhou, Lirong Zheng, Banghao Wu, Kai Yi, Bozitao Zhong, Yang Tan, Qian Liu, Pietro Liò, Liang Hong",2024-09-10,A conditional protein diffusion model generates artificial programmable endonuclease sequences with enhanced activity ,https://www.nature.com/articles/s41421-024-00728-2,1.0,,,4000000.0,"CPDiffusion trains a denoising diffusion model with 4 million
learnable parameters from natural protein structures. ",,,,,5600000.999999996,"CATH: 20,000 × 250 = 5,000,000
pAgo: 694 × 800 = 555,200
Total: 5,000,000 + 555,200 = 5,555,200 ≈ 5.6 × 10^6 datapoints",,,,,,,,"Deep learning-based methods for generating functional proteins address the growing need for novel biocatalysts, allowing for precise tailoring of functionalities to meet specific requirements. This advancement leads to the development of highly efficient and specialized proteins with diverse applications across scientific, technological, and biomedical fields. This study establishes a pipeline for protein sequence generation with a conditional protein diffusion model, namely CPDiffusion, to create diverse sequences of proteins with enhanced functions. CPDiffusion accommodates protein-specific conditions, such as secondary structures and highly conserved amino acids. Without relying on extensive training data, CPDiffusion effectively captures highly conserved residues and sequence features for specific protein families. We applied CPDiffusion to generate artificial sequences of Argonaute (Ago) proteins based on the backbone structures of wild-type (WT) Kurthia massiliensis Ago (KmAgo) and Pyrococcus furiosus Ago (PfAgo), which are complex multi-domain programmable endonucleases. The generated sequences deviate by up to nearly 400 amino acids from their WT templates. Experimental tests demonstrated that the majority of the generated proteins for both KmAgo and PfAgo show unambiguous activity in DNA cleavage, with many of them exhibiting superior activity as compared to the WT. These findings underscore CPDiffusion’s remarkable success rate in generating novel sequences for proteins with complex structures and functions in a single step, leading to enhanced activity. This approach facilitates the design of enzymes with multi-domain molecular structures and intricate functions through in silico generation and screening, all accomplished without the need for supervision from labeled data.",,,Confident,"China,Australia,United Kingdom of Great Britain and Northern Ireland,China",,,,,,"Academia,Academia,Academia,Academia",,,,,,
IEV2MOL,Biology,Drug discovery,Tokyo Institute of Technology,"Mami Ozawa, Shogo Nakamura, Nobuaki Yasuo, Masakazu Sekijima",2024-10-10,IEV2Mol: Molecular Generative Model Considering Protein-Ligand Interaction Energy Vectors,https://pubs.acs.org/doi/full/10.1021/acs.jcim.4c00842,,,,,,,1. Hardware: 1x RTX 4090 (3.30×10¹⁴ FLOP/s),,,39245560.0,"Main dataset: 981,139 compounds represented by SMILES strings. Estimating ~40 characters per compound

Total prediction targets: 981139 * 40 = 39245560",,,,,,,,"Generating drug candidates with desired protein–ligand interactions is a significant challenge in structure-based drug design. In this study, a new generative model, IEV2Mol, is proposed that incorporates interaction energy vectors (IEVs) between proteins and ligands obtained from docking simulations, which quantitatively capture the strength of each interaction type, such as hydrogen bonds, electrostatic interactions, and van der Waals forces. By integrating this IEV into an end-to-end variational autoencoder (VAE) framework that learns the chemical space from SMILES and minimizes the reconstruction error of the SMILES, the model can more accurately generate compounds with the desired interactions. To evaluate the effectiveness of IEV2Mol, we performed benchmark comparisons with randomly selected compounds, unconstrained VAE models (JT-VAE), and compounds generated by RNN models based on interaction fingerprints (IFP-RNN). The results show that the compounds generated by IEV2Mol retain a significantly greater percentage of the binding mode of the query structure than those of the other methods. Furthermore, IEV2Mol was able to generate compounds with interactions similar to those of the input compounds, regardless of structural similarity. The source code and trained models for IEV2Mol, JT-VAE, and IFP-RNN designed for generating compounds active against the DRD2, AA2AR, and AKT1, as well as the data sets (DM-QP-1M, active compounds to each protein, and ChEMBL33) utilized in this study, are released under the MIT License and available at https://github.com/sekijima-lab/IEV2Mol.",,,Likely,Japan,,,,,,Academia,,,,,,Hardware
AbGPT,Biology,Protein design,Carnegie Mellon University (CMU),"Desmond Kuan, Amir Barati Farimani",2024-09-09,AbGPT: De Novo Antibody Design via Generative Language Modeling,https://arxiv.org/abs/2409.06090,,,,734000000.0,,4.2506168e+21,"Finetuned ProtGPT2 on 57M sequences with average length of ~120 (Figure 6)

FT compute: 734000000*6840000000*5*6=1.506168e+20

Base model compute: 4.1e+21

Total: 4.2506168e+21",,,6840000000.0,"Finetuned ProtGPT2 on 57M sequences with average length of ~120 (Figure 6)
FT dataset in tokens: 57000000*120=6840000000",5.0,,,NVIDIA RTX A6000,,,,"The adaptive immune response, largely mediated by B-cell receptors (BCRs), plays a crucial role for effective pathogen neutralization due to its diversity and antigen specificity. Designing BCRs de novo, or from scratch, has been challenging because of their complex structure and diverse binding requirements. Protein language models (PLMs) have shown remarkable performance in contextualizing and performing various downstream tasks without relying on structural information. However, these models often lack a comprehensive understanding of the entire protein space, which limits their application in antibody design. In this study, we introduce Antibody Generative Pretrained Transformer (AbGPT), a model fine-tuned from a foundational PLM to enable a more informed design of BCR sequences. Using a custom generation and filtering pipeline, AbGPT successfully generated a high-quality library of 15,000 BCR sequences, demonstrating a strong understanding of the intrinsic variability and conserved regions within the antibody repertoire. https://github.com/deskk/AbGPT",Unreleased,,Confident,United States of America,ProtGPT2,,,,,Academia,Unreleased,"MIT license:
https://github.com/deskk/AbGPT",,,,
MPDF,Biology,Drug discovery,"Chinese University of Hong Kong (CUHK),Lanzhou University,Zhejiang Lab,Zhejiang University (ZJU)","Chunbin Gu, Mutian He, Hanqun Cao, Guangyong Chen, Chang-yu Hsieh, Pheng Ann Heng",2024-09-07,Unlocking Potential Binders: Multimodal Pretraining DEL-Fusion for Denoising DNA-Encoded Libraries,https://arxiv.org/abs/2409.05916,2.0,,,,,307411200000000000,"1. Hardware: 1x NVIDIA GeForce RTX 3090

2. Training duration: 6 hours (max of 1-6 hour range) = 21,600 seconds

3. Utilization: 40%

4. Calculation: 


35580000000000*6*60*60*0.4=3.074112e+17",,,,,,6.0,"""with training times ranging from 1 to 6 hours, depending on the complexity and size of the different building blocks.""",NVIDIA GeForce RTX 3090,1.0,,,"In the realm of drug discovery, DNA-encoded library (DEL) screening technology has emerged as an efficient method for identifying high-affinity compounds. However, DEL screening faces a significant challenge: noise arising from nonspecific interactions within complex biological systems. Neural networks trained on DEL libraries have been employed to extract compound features, aiming to denoise the data and uncover potential binders to the desired therapeutic target. Nevertheless, the inherent structure of DEL, constrained by the limited diversity of building blocks, impacts the performance of compound encoders. Moreover, existing methods only capture compound features at a single level, further limiting the effectiveness of the denoising strategy. To mitigate these issues, we propose a Multimodal Pretraining DEL-Fusion model (MPDF) that enhances encoder capabilities through pretraining and integrates compound features across various scales. We develop pretraining tasks applying contrastive objectives between different compound representations and their text descriptions, enhancing the compound encoders' ability to acquire generic features. Furthermore, we propose a novel DEL-fusion framework that amalgamates compound information at the atomic, submolecular, and molecular levels, as captured by various compound encoders. The synergy of these innovations equips MPDF with enriched, multi-scale features, enabling comprehensive downstream denoising. Evaluated on three DEL datasets, MPDF demonstrates superior performance in data processing and analysis for validation tasks. Notably, MPDF offers novel insights into identifying high-affinity molecules, paving the way for improved DEL utility in drug discovery.",Unreleased,,Confident,"Hong Kong,China,China,China",,,,,,"Academia,Academia,Academia",Unreleased,,,,378.94397282710867,Hardware
PocketVec,Biology,Drug discovery,"Barcelona Institute of Science and Technology,Universitat de Barcelona,Institució Catalana de Recerca i Estudis Avançats (ICREA)","Arnau Comajuncosa-Creus, Guillem Jorba, Xavier Barril, Patrick Aloy",2024-03-16,Comprehensive detection and characterization of human druggable pockets through binding site descriptors,https://www.biorxiv.org/content/10.1101/2024.03.14.584971v1.abstract,,,,,,,,,,1.0,"0.0

Final calculation: 0.0
(No additions or multiplications performed as there is no training data involved)",,,,,,,,"Druggable pockets are protein regions that have the ability to bind organic small molecules, and their characterization is essential in target-based drug discovery. However, strategies to derive pocket descriptors are scarce and usually exhibit limited applicability. Here, we present PocketVec, a novel approach to generate pocket descriptors for any protein binding site of interest through the inverse virtual screening of lead-like molecules. We assess the performance of our descriptors in a variety of scenarios, showing that it is on par with the best available methodologies, while overcoming some important limitations. In parallel, we systematically search for druggable pockets in the folded human proteome, using experimentally determined protein structures and AlphaFold2 models, identifying over 32,000 binding sites in more than 20,000 protein domains. Finally, we derive PocketVec descriptors for each small molecule binding site and run an all-against-all similarity search, exploring over 1.2 billion pairwise comparisons. We show how PocketVec descriptors facilitate the identification of druggable pocket similarities not revealed by structure- or sequence-based comparisons. Indeed, our analyses unveil dense clusters of similar pockets in distinct proteins for which no inhibitor has yet been crystalized, opening the door to strategies to prioritize the development of chemical probes to cover the druggable space.

",Unreleased,,Unknown,"Spain,Spain,Spain",,,,,,Academia,Open (non-commercial),"no clear license
https://gitlabsbnb.irbbarcelona.org/acomajuncosa/pocketvec

""The PocketVec Repository holds the code needed to create a PocketVec descriptor for any protein binding site of interest together with all results presented along the manuscript.""",,,,
EITLEM-Kinetics,Biology,Mutation prediction,Beijing University of Chemical Technology,"Xiaowei Shen, Ziheng Cui, Jianyu Long, Shiding Zhang, Biqiang Chen, Tianwei Tan",2024-09-19,EITLEM-Kinetics: A Deep-Learning Framework for Kinetic Parameter Prediction of Mutant Enzymes,https://www.cell.com/chem-catalysis/abstract/S2667-1093(24)00266-5,,,,,,,,,,61185.00000000005,"34,429 × 0.8 = 27,543
28,664 × 0.8 = 22,931
13,388 × 0.8 = 10,710
27,543 + 22,931 + 10,710 = 61,184",,,,,,,,"The core issue in implementing in silico enzyme screening lies in accurately evaluating the merits of mutants. The best solution to this problem would undoubtedly be the precise prediction of kinetic parameters for mutant enzymes to directly assess the catalytic efficiency and activity of enzymes. Previously developed models of this type are mostly limited to predictions for wild-type enzymes and tend to exhibit poorer generalization capabilities. Here, a novel deep-learning model framework and an ensemble iterative transfer learning strategy for enzyme mutant kinetics parameter (kcat, Km, and KKm) prediction (EITLEM-Kinetics) were developed. This approach is designed to overcome the limitations imposed by sparse training samples on the model’s predictive performance and accurately predict the kinetic parameters of various mutants. This development is set to provide significant assistance in future endeavors to construct virtual screening methods aimed at enhancing enzyme activity and offer innovative solutions for researchers grappling with similar challenges.",Open weights (unrestricted),,Confident,China,,,,,,Academia,Open source,"MIT license:
https://github.com/XvesS/EITLEM-Kinetics/tree/main",,,,
Automated design of multi-target ligands by generative deep learning,Biology,Drug discovery,"Goethe University Frankfurt,Fraunhofer Institute for Translational Medicine and Pharmacology,Ludwig Maximilian University of Munich","Laura Isigkeit, Tim Hörmann, Espen Schallmayer, Katharina Scholz, Felix F. Lillich, Johanna H. M. Ehrler, Benedikt Hufnagel, Jasmin Büchner, Julian A. Marschner, Jörg Pabel, Ewgenij Proschak, Daniel Merk",2024-09-11,Automated design of multi-target ligands by generative deep learning,https://www.nature.com/articles/s41467-024-52060-8,,,,5820515.0,"""The model was based on a recurrent neural network with long short-term memory (LSTM) cells and consisted of four layers with a total of 5,820,515
parameters: layer 1, BatchNormalization; layer 2, LSTM with 1024 units;
layer 3, LSTM with 256 units; layer 4, BatchNormalization.""",,,,,510000000.9999995,"365,000 molecules × 10 augmentations = 3,650,000 total molecules
3,650,000 molecules × 140 tokens/molecule = 511,000,000 (5.11 × 10⁸) tokens
Final estimate: 5.1e8 tokens",,,,,,,,"Generative deep learning models enable data-driven de novo design of molecules with tailored features. Chemical language models (CLM) trained on string representations of molecules such as SMILES have been successfully employed to design new chemical entities with experimentally confirmed activity on intended targets. Here, we probe the application of CLM to generate multi-target ligands for designed polypharmacology. We capitalize on the ability of CLM to learn from small fine-tuning sets of molecules and successfully bias the model towards designing drug-like molecules with similarity to known ligands of target pairs of interest. Designs obtained from CLM after pooled fine-tuning are predicted active on both proteins of interest and comprise pharmacophore elements of ligands for both targets in one molecule. Synthesis and testing of twelve computationally favored CLM designs for six target pairs reveals modulation of at least one intended protein by all selected designs with up to double-digit nanomolar potency and confirms seven compounds as designed dual ligands. These results corroborate CLM for multi-target de novo design as source of innovation in drug discovery.",,,Confident,"Germany,Germany,Germany",,,,,,"Academia,Academia",Open source,"Code used in this study is available at Zenodo (https://doi.org/10.5281/zenodo.12795470)

License: CC-BY-4.0",,,,
4D Diffusion for Dynamic Protein Structure Prediction with Reference Guided Motion Alignment,Biology,Protein folding prediction,"Fudan University,Shanghai Academy of Artificial Intelligence for Science,Nanjing University","Kaihui Cheng, Ce Liu, Qingkun Su, Jun Wang, Liwei Zhang, Yining Tang, Yao Yao, Siyu Zhu, Yuan Qi",2024-09-12,"4D Diffusion for Dynamic Protein Structure Prediction with Reference Guided Motion Alignment
",https://arxiv.org/abs/2408.12419,,,,,,,"
",,,24448.0,"
This model is not trained on a token level and processes a protein in a single forward pass. 
764 proteins * 32 steps = 24448",550.0,,,NVIDIA A100,1.0,,,"Protein structure prediction is pivotal for understanding the structure-function relationship of proteins, advancing biological research, and facilitating pharmaceutical development and experimental design. While deep learning methods and the expanded availability of experimental 3D protein structures have accelerated structure prediction, the dynamic nature of protein structures has received limited attention. This study introduces an innovative 4D diffusion model incorporating molecular dynamics (MD) simulation data to learn dynamic protein structures. Our approach is distinguished by the following components: (1) a unified diffusion model capable of generating dynamic protein structures, including both the backbone and side chains, utilizing atomic grouping and side-chain dihedral angle predictions; (2) a reference network that enhances structural consistency by integrating the latent embeddings of the initial 3D protein structures; and (3) a motion alignment module aimed at improving temporal structural coherence across multiple time steps. To our knowledge, this is the first diffusion-based model aimed at predicting protein trajectories across multiple time steps simultaneously. Validation on benchmark datasets demonstrates that our model exhibits high accuracy in predicting dynamic 3D structures of proteins containing up to 256 amino acids over 32 time steps, effectively capturing both local flexibility in stable states and significant conformational changes.",Unreleased,,Confident,"China,China,China",,,,,,"Academia,Academia",Unreleased,the page is not accessible anymore https://github.com/fudan-generative-vision/AlphaFolding,,,433.0306068068584,Hardware
IDPFold,Biology,Protein folding prediction,"Shandong University,BioMap Research,Fuzhou University,Shanghai Jiao Tong University","Junjie Zhu, Zhengxin Li, Zhuoqi Zheng, Bo Zhang, Bozitao Zhong, Jie Bai, Xiaokun Hong, Taifeng Wang, Ting Wei, Jianyi Yang, Hai-Feng Chen",2024-09-13,Precise Generation of Conformational Ensembles for Intrinsically Disordered Proteins via Fine-tuned Diffusion Models,https://www.biorxiv.org/content/10.1101/2024.05.05.592611.abstract,,,,17800000.0,Taken from Table 2,259999999999998000000,"1. Hardware setup: 1x NVIDIA A100 GPU with 3.12×10¹⁴ FLOP/s (fp16_tensor)

2. Training duration: Directly provided as 24 GPU days (9 days initial + 15 days second phase) = 2.0736×10⁶ seconds

3. Utilization rate: 40%

4. Final calculation:
3.12×10¹⁴ FLOP/s × 1 GPU × 2.0736×10⁶ s × 0.4 = 2.6×10²⁰ FLOP",,,7500001.000000003,"Initial Phase: 25,495 sequences × 200 residues = 5,099,000 points
Second Phase: 3,880 sequences × 300 residues = 1,164,000 points
Total: 5,099,000 + 1,164,000 = 6,263,000 points
Rounded: 7.5 million data points",,,,NVIDIA A100,,,,"Intrinsically disordered proteins (IDPs) play pivotal roles in various biological functions and are closely linked to many human diseases including cancer, diabetes and Alzheimer disease. Structural investigations of IDPs typically involve a combination of molecular dynamics (MD) simulations and experimental data to correct for intrinsic biases in simulation methods. However, these simulations are hindered by their high computational cost and a scarcity of experimental data, severely limiting their applicability. Despite the recent advancements in structure prediction for structured proteins, understanding the conformational properties of IDPs remains challenging partly due to the poor conservation of disordered protein sequences and limited experimental characterization. Here, we introduce IDPFold, a method capable of generating conformational ensembles for IDPs directly from their sequences using fine-tuned diffusion models. IDPFold bypasses the need for Multiple Sequence Alignments (MSA) or experimental data, achieving accurate predictions of ensemble properties across numerous IDPs. By sampling conformations at the backbone level, IDPFold provides more detailed structural features and more precise property estimation compared to other state-of-the-art methods. IDPFold is ready to be used in the elucidate the sequence-disorder-function paradigm of IDPs.",,,Likely,"China,China,China,China",ESM2-650M,,,,,"Academia,Industry,Academia,Academia",,,,,,Hardware
Novae,Biology,Spatial Transcriptomics,"CentraleSupelec,Gustave Roussy,Université Paris Cité","Quentin Blampey, Hakim Benkirane, Nadège Bercovici, Fabrice André, Paul-Henry Cournède",2024-09-13,Novae: a graph-based foundation model for spatial transcriptomics data,https://www.biorxiv.org/content/10.1101/2024.09.09.612009v1.abstract,,,,32000000.0,32M (safetensors),11000000000000000000,"""Novae was trained on a Nvidia HGX A100 GPU for 24 hours."" Assume FP16 tensor precision and 40% utilization. ",,,30000000.0,"""This allowed us  169 to train Novae on a dataset composed of nearly 30 million cells using a GPU with 40GB of RAM (see  170 subsection 4.14 for more details).""",,24.0,,NVIDIA A100 SXM4 40 GB,1.0,,,"Spatial transcriptomics is advancing molecular biology by providing high-resolution insights into gene expression within the spatial context of tissues. This context is essential for identifying spatial domains, enabling the understanding of micro-environment organizations and their implications for tissue function and disease progression. To improve current model limitations on multiple slides, we have designed Novae (https://github.com/MICS-Lab/novae), a graph-based foundation model that extracts representations of cells within their spatial contexts. Our model was trained on a large dataset of nearly 30 million cells across 18 tissues, allowing Novae to perform zero-shot domain inference across multiple gene panels, tissues, and technologies. Unlike other models, it also natively corrects batch effects and constructs a nested hierarchy of spatial domains. Furthermore, Novae supports various downstream tasks, including spatially variable gene or pathway analysis and spatial domain trajectory analysis. Overall, Novae provides a robust and versatile tool for advancing spatial transcriptomics and its applications in biomedical research.",Open weights (non-commercial),,Confident,"France,France,France",,,,,,Academia,Open source,"BSD-3 Clause license
https://github.com/MICS-Lab/novae

No clear license:
https://huggingface.co/MICS-Lab/novae-human-0",,,433.0209635948764,Hardware
CodonTransformer,Biology,Codon optimization,"Vector Institute,University of Toronto,Université Paris Cité","Adibvafa Fallahpour, Vincent Gureghian, Guillaume J. Filion, Ariel B. Lindner, Amir Pandi",2024-09-13,CodonTransformer: a multispecies codon optimizer using context-aware neural networks,https://www.biorxiv.org/content/10.1101/2024.09.13.612903v1.abstract,,,,89600000.0,"""total number of parameters to 89.6 million.""",,,,,300359100.0,"1,001,197 sequences × 300 tokens/sequence = 300359100",20.0,,,NVIDIA V100,16.0,,,"The genetic code is degenerate allowing a multitude of possible DNA sequences to encode the same protein. This degeneracy impacts the efficiency of heterologous protein production due to the codon usage preferences of each organism. The process of tailoring organism-specific synonymous codons, known as codon optimization, must respect local sequence patterns that go beyond global codon preferences. As a result, the search space faces a combinatorial explosion that makes exhaustive exploration impossible. Nevertheless, throughout the diverse life on Earth, natural selection has already optimized the sequences, thereby providing a rich source of data allowing machine learning algorithms to explore the underlying rules. Here, we introduce CodonTransformer, a multispecies deep learning model trained on over 1 million DNA-protein pairs from 164 organisms spanning all kingdoms of life. The model demonstrates context-awareness thanks to the attention mechanism and bidirectionality of the Transformers we used, and to a novel sequence representation that combines organism, amino acid, and codon encodings. CodonTransformer generates host-specific DNA sequences with natural-like codon distribution profiles and with negative cis-regulatory elements. This work introduces a novel strategy of Shared Token Representation and Encoding with Aligned Multi-masking (STREAM) and provides a state-of-the-art codon optimization framework with a customizable open-access model and a user-friendly interface.",,,Confident,"Canada,Canada,France",,,,,,"Academia,Academia,Academia",,,,,9457.177844912101,
Text2Protein,Biology,Protein design,"University of California San Diego,Brown University","Ramtin Hosseini, Siyang Zhang, Pengtao Xie",2024-09-13,Text2Protein: A Generative Model for Designated Protein Design on Given Description,https://www.researchsquare.com/article/rs-4868665/v1,,,,,,55000000000000030000,"1. Hardware setup: 1x NVIDIA RTX 3090 (1.60e14 FLOP/s FP16 tensor)

2. Training duration: 10 days provided directly (864,000 seconds)

3. Utilization rate: 40%

4. Calculation: 1.60e14 FLOP/s × 1 GPU × 864,000s × 0.4 = 5.5e19 FLOPs",,,1000000.9999999995,"Training set: 10,898 * 0.95 = 10,353 proteins
Average residues per protein: 100
Total datapoints = 10,353 * 100 = 1,035,300

Range validation:
Minimum (40 residues): 10,353 * 40 = 414,120
Maximum (256 residues): 10,353 * 256 = 2,648,768

Final estimate: ~1.0e6 datapoints",,240.0,"""We trained the diffusion model for approximately 500,000 iterations with a batch size of 248. The entire training process, conducted on an NVIDIA RTX 3090 GPU, took about 10 days to complete.""",NVIDIA GeForce RTX 3090,,,,"Designing protein structures from text is challenging in computational biology. We propose Text2Protein, a pipeline combining large language models (LLMs) with diffusion models to generate full-atomic protein structures from text. Using a conditional diffusion model and the Vicuna-7B language model, we learn data distributions of 6D interresidue coordinates, refined into full-atomic structures with PyRosetta. Trained on a curated RCSB-PDB dataset, Text2Protein focuses on single-chain proteins with 40-256 residues. Our extensive experiments validate Text2Protein’s effectiveness by generating high-fidelity protein structures similar to ground truth proteins using raw texts. We evaluate Text2Protein using multiple metrics, including Mean Square Error (MSE) of 6D coordinates, Rosetta Energy Units (REU), and TM-score. Our results show that 5% of the generated proteins have a TM-score greater than 0.5, indicating similar folds in SCOP/CATH. Additionally, 16% of pairs have a TM-score greater than 0.4, 89% have a TM-score greater than 0.3, and none have a TM-score less than 0.17, below the threshold for unrelated proteins. Text2Protein presents a promising framework for automated protein design, potentially accelerating novel protein discovery. This work opens new avenues for integrating natural language understanding with protein structure generation, with implications in drug discovery, enzyme engineering, and material science.",,,Confident,"United States of America,United States of America",,,,,,"Academia,Academia",,,,,,Hardware
