Risk,Alternate Name,Lay Language,Revised
thrombocytopenia,,"Low number of platelets, which may cause bleeding and bruising. Bleeding may be serious or life threatening and may required a blood transfusion.",2/10/2015 17:30
thrombosis,embolism,Formation or presence of a blood clot inside a blood vessel.,2/10/2015 17:30
thrombotic microangiopathy,,Abnormal clotting of blood in small blood vessels This is associated with decrease in platelets with risk of bleeding and decreased kidney function which may be severe enough to require dialysis. It may also be associated with changes in ability to think.,2/10/2015 17:30
Thyrotoxicosis,,"The study treatment may cause anxiety and irritability, insomnia, intolerance to heat, fever, weight loss despite increased appetite, muscular weakness, missed periods (amenorrhea), erectile dysfunction, and high fecal output.",2/27/2015 13:24
tinnitus,,Ringing in the ears,2/10/2015 17:30
Torsade de pointes,,Irregular and rapid heartbeat that can be caused by some medications. May be life threatening and may require medical intervention.,2/10/2015 17:30
Toxic Epidermal Necrolysis,"TEN, Lyell's syndrome, Stevens Johnson Syndrome, erythema multiforme","Toxic Epidermal Necrolysis (TEN) is a rare, life-threatening skin condition that is usually caused by a reaction to a drug. The top layer of skin detaches from the lower layers of skin all over the body. This is similar to the skin damage from a severe burn and is serious and life threatening.",2/27/2015 15:21
transient ischemic attack,"TIA, Stroke","A brief episode of decreased oxygen to the brain causing blurred vision, dizziness, faintness, and numbness.",2/10/2015 17:30
trigeminy,,Irregular heartbeat,5/12/2016 15:07
trismus,,Difficulty or limitation to mouth opening,2/10/2015 17:30
troponin increase,,Abnormal blood test (possible heart problems),2/10/2015 17:30
tumor flare,,Sudden growth in tumor or worsening of tumor related problems.,2/10/2015 17:30
Tumor lysis syndrome,TLS,"Tumor lysis syndrome (TLS) is caused by the sudden, rapid death of cancer cells in response to treatment. When cancer cells die they may spill their inner (intracellular) contents, which accumulate faster then they can be eliminated. This debris from the cancer cells can change the balance of the chemistry of the body, which can be dangerous. Symptoms of tumor lysis syndrome include severe nausea and vomiting, shortness of breath, an irregular heartbeat, kidney failure, urine abnormalities, severe fatigue and/or joint pain.",2/10/2015 17:30
Type 1 Diabetes,,Diabetes requiring insulin,3/15/2017 7:53
Typhlitis,,Inflammation of a portion of the bowel which can be seious or life threatening,2/10/2015 17:30
Ulceration,,Irritation or destruction of skin or other body tissues.,2/10/2015 17:30
urinary electrolyte wasting,,Condition where the kidneys lose salts and can lead to a decrease in kidney function and a change in the acid and base balance of the blood.,2/10/2015 17:30
urinary frequency / urgency,,Increased need to urinate,2/10/2015 17:30
urinary retention,,Difficulty emptying the bladder,2/10/2015 17:30
Urinary Tract Disorder,"UTI, urinary tract infection","The study treatment may cause an increased risk of infection, such as a urinary tract infection. An infection may occur anywhere and it may become life-threatening.  A low number of white blood cells may increase the risk of infection.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 15:19
urticaria,"hives, urticaria vesiculosa",Swollen raised areas on the skin that are intensely itchy,2/19/2015 13:52
urticaria vesiculosa,hives,Swollen raised areas on the skin that are intensely itchy,2/10/2015 17:30
uveitis,,Inflammation of the iris of the eye,2/10/2015 17:30
vaginal mucositis,,Irritation or sores of the lining of the vagina,2/10/2015 17:30
vaginitis,,Inflammation of the vagina,2/10/2015 17:30
valvular heart disease,,Abnormal heart valves.,2/10/2015 17:30
varices,,"Enlarged veins, usually in legs or lining of tube between mouth and stomach",2/10/2015 17:30
vasculitis,,Inflammation of blood vessels that can lead to damage of different organs,2/10/2015 17:30
Vasospasm,,Blood vessel spasm (possible blockage of blood flow),5/26/2016 11:30
vasovagal episode,,Sudden drop in blood pressure that may cause fainting,2/10/2015 17:30
Veno Occlusive Disease,"VOD, Heptatic Veno-Occlusive Disease, veno-occlusive hepatic disease, Veno-Occlusive Liver Disease","Hepatic veno-occlusive disease is a condition that is characterized by damage to blood vessels in the liver and liver cells. Although it may be mild and not require further treatment, sometimes it may cause a severe decrease in liver function and may be life threatening or fatal.",2/27/2015 14:39
ventricular arrhythmia,,Irregular heartbeat,5/12/2016 15:07
ventricular fibrillation,,Irregular heartbeat,5/12/2016 15:08
ventricular flutter,,Irregular heartbeat,5/12/2016 15:08
ventricular tachycardia,,Irregular heartbeat,5/12/2016 15:08
vessel injury-artery,,Damage to a blood vessel that carries blood away from the heart to the tissues,2/10/2015 17:30
vessel injury-vein,,Damage to a blood vessel that carries blood to the heart,2/10/2015 17:30
viral hepatitis,,Inflammation of the liver caused by a virus,2/10/2015 17:30
viscera - Vessel injury-vein,,Damage to a blood vessel in a belly organ,2/19/2015 13:29
visceral - Vessel injury-artery,,Damage to a blood vessel in a belly organ,2/10/2015 17:30
visceral arterial ischemia,,Decrease in blood flow to internal body organs,2/10/2015 17:30
Vision Changes - Permanent,"Vision Loss, Visual Disturbances",Decreased vision or vision changes that may be permanent.,5/26/2016 11:12
Vision Changes - Reversible,"vision loss, visual disturbances",Vision loss or vision changes that may be reversible.,5/26/2016 11:12
vision-flashing lights,floaters,Seeing flashing lights or floaters,2/19/2015 13:12
vision-photophobia,,Eyes are more sensitive than normal to light.,2/10/2015 17:30
vital capacity,,Decreased amount of air that a person can exhale (breath out),2/10/2015 17:30
vitiligo,,Patches of skin color loss,2/10/2015 17:30
vitreous hemorrhage,,Bleeding into the eyeball,2/10/2015 17:30
voice changes / dysarthria,"hoarseness, loss or alteration in voice, laryngitis","Voice changes, laryngitis, hoarseness",2/19/2015 11:02
Vomiting,,Vomiting,2/11/2015 16:03
Wolff-Parkinson-White Syndrome,,Irregular heartbeat,5/12/2016 15:08
wound healing complication,"wound complication, non-infectious",Slow or poor healing of surgical wounds,2/27/2015 13:45
Xerostomia,,Dry mouth,2/27/2015 13:43
